1000, 40, 40, 8, 10 
1048, 35, 35, 6, 6 
1098, 31, 31, 5, 3 
1149, 28, 28, 4, 2 
1202, 26, 26, 3, 1 
1256, 25, 25, 2, 1 
1310, 25, 25, 2, 1 
1365, 25, 25, 2, 1 
1420, 25, 25, 2, 1 
1475, 25, 25, 2, 1 
1530, 26, 26, 2, 1 
1585, 28, 28, 2, 1 
1639, 30, 30, 2, 1 
1692, 33, 33, 2, 1 
1744, 37, 37, 2, 1 
1794, 43, 43, 2, 1 
1841, 51, 51, 2, 1 
1885, 61, 61, 2, 1 
1926, 74, 74, 2, 1 
1962, 92, 92, 2, 1 
1992, 115, 115, 2, 1 
2015, 146, 146, 2, 1 
2028, 186, 186, 2, 1 
2029, 239, 239, 2, 1 
2017, 307, 307, 2, 1 
1987, 393, 393, 2, 1 
1936, 498, 498, 2, 1 
1861, 621, 621, 2, 1 
1762, 755, 755, 2, 1 
1640, 887, 887, 3, 1 
1503, 997, 997, 5, 2 
1360, 1063, 1063, 9, 4 
1224, 1068, 1068, 17, 9 
1105, 1009, 1009, 33, 21 
1010, 893, 893, 62, 47 
942, 735, 735, 107, 95 
900, 554, 554, 164, 166 
883, 374, 374, 213, 237 
887, 227, 227, 227, 262 
909, 134, 134, 201, 221 
942, 85, 85, 156, 149 
982, 60, 60, 112, 88 
1026, 47, 47, 78, 48 
1073, 39, 39, 53, 25 
1122, 34, 34, 36, 13 
1173, 31, 31, 25, 7 
1225, 29, 29, 17, 4 
1278, 28, 28, 12, 2 
1332, 28, 28, 9, 1 
1386, 28, 28, 7, 1 
1441, 28, 28, 5, 1 
1496, 29, 29, 4, 1 
1550, 30, 30, 3, 1 
1604, 32, 32, 3, 1 
1657, 35, 35, 3, 1 
1709, 39, 39, 3, 1 
1759, 44, 44, 3, 1 
1807, 51, 51, 3, 1 
1852, 60, 60, 3, 1 
1894, 72, 72, 3, 1 
1931, 88, 88, 3, 1 
1963, 109, 109, 3, 1 
1988, 137, 137, 3, 1 
2005, 173, 173, 3, 1 
2011, 220, 220, 3, 1 
2005, 281, 281, 3, 1 
1983, 358, 358, 3, 1 
1941, 453, 453, 3, 1 
1877, 566, 566, 3, 1 
1790, 692, 692, 4, 1 
1680, 821, 821, 6, 1 
1553, 936, 936, 10, 1 
1416, 1018, 1018, 18, 2 
1281, 1048, 1048, 34, 4 
1158, 1018, 1018, 66, 9 
1055, 931, 931, 125, 20 
977, 799, 799, 223, 42 
924, 641, 641, 360, 78 
894, 475, 475, 509, 123 
885, 324, 324, 612, 158 
893, 209, 209, 619, 161 
915, 135, 135, 538, 131 
947, 93, 93, 420, 89 
985, 69, 69, 308, 54 
1027, 55, 55, 218, 31 
1072, 46, 46, 151, 17 
1120, 40, 40, 103, 9 
1170, 36, 36, 70, 5 
1221, 34, 34, 48, 3 
1273, 33, 33, 33, 2 
1326, 32, 32, 23, 1 
1380, 32, 32, 16, 1 
1434, 32, 32, 11, 1 
1488, 33, 33, 8, 1 
1542, 35, 35, 6, 1 
1595, 37, 37, 5, 1 
1647, 40, 40, 4, 1 
1698, 45, 45, 3, 1 
1747, 51, 51, 3, 1 
1793, 59, 59, 3, 1 
1837, 70, 70, 3, 1 
1877, 84, 84, 3, 1 
1912, 102, 102, 3, 1 
1941, 126, 126, 3, 1 
1963, 157, 157, 3, 1 
1976, 197, 197, 3, 1 
1977, 249, 249, 3, 1 
1965, 314, 314, 3, 1 
1936, 395, 395, 3, 1 
1888, 492, 492, 3, 1 
1819, 603, 603, 3, 1 
1728, 722, 722, 4, 1 
1618, 838, 838, 6, 1 
1494, 934, 934, 10, 1 
1365, 993, 993, 18, 2 
1241, 1001, 1001, 33, 4 
1131, 956, 956, 62, 8 
1041, 864, 864, 112, 17 
974, 740, 740, 190, 33 
929, 600, 600, 293, 58 
904, 459, 459, 400, 87 
898, 332, 332, 474, 109 
906, 232, 232, 486, 112 
926, 162, 162, 439, 96 
955, 117, 117, 359, 70 
990, 89, 89, 274, 46 
1030, 72, 72, 201, 28 
1073, 61, 61, 144, 16 
1119, 53, 53, 101, 9 
1167, 48, 48, 71, 5 
1216, 45, 45, 49, 3 
1266, 43, 43, 34, 2 
1317, 42, 42, 24, 2 
1369, 42, 42, 17, 2 
1421, 42, 42, 12, 2 
1473, 43, 43, 9, 2 
1525, 45, 45, 7, 2 
1576, 48, 48, 5, 2 
1626, 52, 52, 4, 2 
1674, 58, 58, 3, 2 
1720, 65, 65, 3, 2 
1764, 75, 75, 3, 2 
1804, 88, 88, 3, 2 
1840, 104, 104, 3, 2 
1871, 125, 125, 3, 2 
1896, 152, 152, 3, 2 
1913, 186, 186, 3, 2 
1920, 230, 230, 3, 2 
1916, 285, 285, 3, 2 
1898, 352, 352, 3, 2 
1864, 433, 433, 3, 2 
1812, 526, 526, 3, 2 
1741, 628, 628, 3, 2 
1652, 732, 732, 4, 3 
1548, 825, 825, 6, 5 
1435, 893, 893, 10, 9 
1322, 922, 922, 17, 18 
1217, 902, 902, 30, 37 
1127, 829, 829, 52, 75 
1057, 704, 704, 86, 144 
1011, 537, 537, 128, 244 
991, 355, 355, 163, 341 
996, 204, 204, 169, 365 
1021, 114, 114, 145, 292 
1059, 72, 72, 109, 186 
1103, 53, 53, 77, 105 
1151, 44, 44, 53, 56 
1201, 39, 39, 37, 29 
1252, 36, 36, 26, 15 
1304, 35, 35, 18, 8 
1357, 35, 35, 13, 4 
1410, 35, 35, 9, 2 
1463, 35, 35, 7, 1 
1516, 36, 36, 5, 1 
1569, 38, 38, 4, 1 
1621, 41, 41, 3, 1 
1672, 45, 45, 3, 1 
